

09/17/2017     MAW         DRAKEA CART PARTS WAREHOUSE                   PAGE 01

                                    STOCK REPORT                                

 CAT           ITEM           PURCHASE   QUANTITY    QUANTITY    REORDER        
 NUM        DESCRIPTION        PRICE      IN STK     ON ORDER     POINT         

X7Y10   Gas Tank               $125.95    00,001      00,001     00,000         
X8Y20   Gas Cap                $075.99    00,001      00,000     00,000         
X6N30   Seat                   $500.00    01,000      00,000     00,500         
Y9T40   Spark Plugs            $025.95    02,001      08,002     00,001         
T8N50   Helmet                 $003.85    00,000      00,000     05,000         
S9M60   Slick 50               $059.99    00,000      05,000     02,000         
J9M70   Gear Box               $999.99    00,500      00,007     00,000         
K3L80   Muffler                $350.95    00,000      00,510     00,000         
L3D90   Seat Belts             $029.95    07,000      00,020     00,000         
M3100   Tool Box               $259.95    08,002      05,015     00,002         
D4110   Carborator             $059.00    00,501      00,000     05,000         
S8120   Generator              $177.00    01,000      08,000     02,500         
X7Y10   Gas Tank               $125.95    00,001      00,001     00,000         
X8Y20   Gas Cap                $075.99    00,001      00,000     00,000         
X6N30   Seat                   $500.00    01,000      00,000     00,500         
Y9T40   Spark Plugs            $025.95    02,001      08,002     00,001         
T8N50   Helmet                 $003.85    00,000      00,000     05,000         
S9M60   Slick 50               $059.99    00,000      05,000     02,000         
J9M70   Gear Box               $999.99    00,500      00,007     00,000         
K3L80   Muffler                $350.95    00,000      00,510     00,000         
L3D90   Seat Belts             $029.95    07,000      00,020     00,000         
M3100   Tool Box               $259.95    08,002      05,015     00,002         
D4110   Carborator             $059.00    00,501      00,000     05,000         
S8120   Generator              $177.00    01,000      08,000     02,500         
X7Y10   Gas Tank               $125.95    00,001      00,001     00,000         
X8Y20   Gas Cap                $075.99    00,001      00,000     00,000         
X6N30   Seat                   $500.00    01,000      00,000     00,500         
Y9T40   Spark Plugs            $025.95    02,001      08,002     00,001         
T8N50   Helmet                 $003.85    00,000      00,000     05,000         
S9M60   Slick 50               $059.99    00,000      05,000     02,000         
J9M70   Gear Box               $999.99    00,500      00,007     00,000         
K3L80   Muffler                $350.95    00,000      00,510     00,000         
L3D90   Seat Belts             $029.95    07,000      00,020     00,000         
M3100   Tool Box               $259.95    08,002      05,015     00,002         
D4110   Carborator             $059.00    00,501      00,000     05,000         
S8120   Generator              $177.00    01,000      08,000     02,500         
X7Y10   Gas Tank               $125.95    00,001      00,001     00,000         
X8Y20   Gas Cap                $075.99    00,001      00,000     00,000         
X6N30   Seat                   $500.00    01,000      00,000     00,500         
Y9T40   Spark Plugs            $025.95    02,001      08,002     00,001         
T8N50   Helmet                 $003.85    00,000      00,000     05,000         
S9M60   Slick 50               $059.99    00,000      05,000     02,000         
J9M70   Gear Box               $999.99    00,500      00,007     00,000         
K3L80   Muffler                $350.95    00,000      00,510     00,000         

09/17/2017     MAW         DRAKEA CART PARTS WAREHOUSE                   PAGE 02

                                    STOCK REPORT                                

 CAT           ITEM           PURCHASE   QUANTITY    QUANTITY    REORDER        
 NUM        DESCRIPTION        PRICE      IN STK     ON ORDER     POINT         

L3D90   Seat Belts             $029.95    07,000      00,020     00,000         
M3100   Tool Box               $259.95    08,002      05,015     00,002         
D4110   Carborator             $059.00    00,501      00,000     05,000         
S8120   Generator              $177.00    01,000      08,000     02,500         
X7Y10   Gas Tank               $125.95    00,001      00,001     00,000         
X8Y20   Gas Cap                $075.99    00,001      00,000     00,000         
X6N30   Seat                   $500.00    01,000      00,000     00,500         
Y9T40   Spark Plugs            $025.95    02,001      08,002     00,001         
T8N50   Helmet                 $003.85    00,000      00,000     05,000         
S9M60   Slick 50               $059.99    00,000      05,000     02,000         
J9M70   Gear Box               $999.99    00,500      00,007     00,000         
K3L80   Muffler                $350.95    00,000      00,510     00,000         
L3D90   Seat Belts             $029.95    07,000      00,020     00,000         
M3100   Tool Box               $259.95    08,002      05,015     00,002         
D4110   Carborator             $059.00    00,501      00,000     05,000         
S8120   Generator              $177.00    01,000      08,000     02,500         
X7Y10   Gas Tank               $125.95    00,001      00,001     00,000         
X8Y20   Gas Cap                $075.99    00,001      00,000     00,000         
X6N30   Seat                   $500.00    01,000      00,000     00,500         
Y9T40   Spark Plugs            $025.95    02,001      08,002     00,001         
T8N50   Helmet                 $003.85    00,000      00,000     05,000         
S9M60   Slick 50               $059.99    00,000      05,000     02,000         
J9M70   Gear Box               $999.99    00,500      00,007     00,000         
K3L80   Muffler                $350.95    00,000      00,510     00,000         
L3D90   Seat Belts             $029.95    07,000      00,020     00,000         
M3100   Tool Box               $259.95    08,002      05,015     00,002         
D4110   Carborator             $059.00    00,501      00,000     05,000         
S8120   Generator              $177.00    01,000      08,000     02,500         
X7Y10   Gas Tank               $125.95    00,001      00,001     00,000         
X8Y20   Gas Cap                $075.99    00,001      00,000     00,000         
X6N30   Seat                   $500.00    01,000      00,000     00,500         
